n1,n2,weight
Reagan1984Moral,Reagan1984Fair,0
Reagan1984Kind,Reagan1984Fair,0
Reagan1984Insp,Reagan1984Fair,0
Reagan1984Know,Reagan1984Fair,0.612414687
Reagan1984Example,Reagan1984Fair,0
Reagan1984Cares,Reagan1984Fair,0.457842287
Reagan1984Lead,Reagan1984Fair,0.213360439
Reagan1984Und,Reagan1984Fair,0
Reagan1984Fair,Reagan1984Fair,0
Reagan1984Touch,Reagan1984Fair,0
Reagan1984Angry,Reagan1984Fair,0.15934109
Reagan1984Hope,Reagan1984Fair,0
Reagan1984Afr,Reagan1984Fair,0
Reagan1984Prou,Reagan1984Fair,0.183152468
Reagan1984Disg,Reagan1984Fair,0
Reagan1984Symp,Reagan1984Fair,0
Reagan1984Uneasy,Reagan1984Fair,0
Bias,Reagan1984Touch,-0.176702761
Reagan1984Hard,Reagan1984Touch,-0.33654293
Reagan1984Decent,Reagan1984Touch,0
Reagan1984Comp,Reagan1984Touch,0
Reagan1984Respect,Reagan1984Touch,0
Reagan1984Int,Reagan1984Touch,0
Reagan1984Moral,Reagan1984Touch,0
Reagan1984Kind,Reagan1984Touch,-0.123727676
Reagan1984Insp,Reagan1984Touch,0.58403074
Reagan1984Know,Reagan1984Touch,0
Reagan1984Example,Reagan1984Touch,1.708214788
Reagan1984Cares,Reagan1984Touch,0
Reagan1984Lead,Reagan1984Touch,0
Reagan1984Und,Reagan1984Touch,0.63717273
Reagan1984Fair,Reagan1984Touch,0
Reagan1984Touch,Reagan1984Touch,0
Reagan1984Angry,Reagan1984Touch,-0.295571798
Reagan1984Hope,Reagan1984Touch,0
Reagan1984Afr,Reagan1984Touch,0
Reagan1984Prou,Reagan1984Touch,0
Reagan1984Disg,Reagan1984Touch,0
Reagan1984Symp,Reagan1984Touch,-0.244557604
Reagan1984Uneasy,Reagan1984Touch,-0.393148594
Bias,Reagan1984Angry,-2.480065263
Reagan1984Hard,Reagan1984Angry,0.340899951
Reagan1984Decent,Reagan1984Angry,0.141936715
Reagan1984Comp,Reagan1984Angry,0.843065122
Reagan1984Respect,Reagan1984Angry,0
Reagan1984Int,Reagan1984Angry,0.398098281
Reagan1984Moral,Reagan1984Angry,0.744237486
Reagan1984Kind,Reagan1984Angry,0.414748999
Reagan1984Insp,Reagan1984Angry,-0.205981775
Reagan1984Know,Reagan1984Angry,0
Reagan1984Example,Reagan1984Angry,-0.318845352
Reagan1984Cares,Reagan1984Angry,0.09495669
Reagan1984Lead,Reagan1984Angry,0.075910889
Reagan1984Und,Reagan1984Angry,0
Reagan1984Fair,Reagan1984Angry,0.15934109
Reagan1984Touch,Reagan1984Angry,-0.295571798
Reagan1984Angry,Reagan1984Angry,0
Reagan1984Hope,Reagan1984Angry,0
Reagan1984Afr,Reagan1984Angry,0
Reagan1984Prou,Reagan1984Angry,0.182021226
Reagan1984Disg,Reagan1984Angry,1.47066394
Reagan1984Symp,Reagan1984Angry,0.517064255
Reagan1984Uneasy,Reagan1984Angry,0.30254574
Bias,Reagan1984Hope,-0.672161965
Reagan1984Hard,Reagan1984Hope,0
Reagan1984Decent,Reagan1984Hope,0.565226449
Reagan1984Comp,Reagan1984Hope,0
Reagan1984Respect,Reagan1984Hope,1.190919981
Reagan1984Int,Reagan1984Hope,0
Reagan1984Moral,Reagan1984Hope,0
Reagan1984Kind,Reagan1984Hope,0
Reagan1984Insp,Reagan1984Hope,0
Reagan1984Know,Reagan1984Hope,0
Reagan1984Example,Reagan1984Hope,0
Reagan1984Cares,Reagan1984Hope,0
Reagan1984Lead,Reagan1984Hope,0.239218624
Reagan1984Und,Reagan1984Hope,-0.211638199
Reagan1984Fair,Reagan1984Hope,0
Reagan1984Touch,Reagan1984Hope,0
Reagan1984Angry,Reagan1984Hope,0
Reagan1984Hope,Reagan1984Hope,0
Reagan1984Afr,Reagan1984Hope,0.590528723
Reagan1984Prou,Reagan1984Hope,0
Reagan1984Disg,Reagan1984Hope,0.063680266
Reagan1984Symp,Reagan1984Hope,0.821779715
Reagan1984Uneasy,Reagan1984Hope,0
Bias,Reagan1984Afr,-1.395576864
Reagan1984Hard,Reagan1984Afr,0.317641761
Reagan1984Decent,Reagan1984Afr,0.089364252
Reagan1984Comp,Reagan1984Afr,0
